"","x"
"1",-3673.71405235245
"2",-3642.3875098904
"3",-3692.10494729325
"4",-3696.26285284914
"5",-3684.35382807262
"6",-3689.87062594019
"7",-3662.09018106397
"8",-3660.19320216908
"9",-3681.37173900275
"10",-3656.57193018787
"11",-3318.86312634272
"12",-3295.74926716957
"13",-3317.87927800892
"14",-3321.81523223316
"15",-3302.2657228926
"16",-3326.83970597428
"17",-3317.2764171833
"18",-3353.74549622531
"19",-3353.04985821768
"20",-3333.8206900666
"21",-3205.46275515701
"22",-3206.93046939162
"23",-3228.84412297372
"24",-3209.8547472807
"25",-3222.97820369398
"26",-3194.27643246688
"27",-3216.50459833142
"28",-3217.74384940866
"29",-3227.68577091843
"30",-3225.81578676332
"31",-3140.26062676572
"32",-3147.30135197287
"33",-3164.41374117206
"34",-3156.28927652302
"35",-3169.30561767746
"36",-3150.21964743566
"37",-3161.56457878775
"38",-3165.37371499173
"39",-3142.57939099213
"40",-3148.96921671608
"41",-3113.41505350495
"42",-3123.95098678813
"43",-3118.00686183324
"44",-3132.46766978105
"45",-3113.94965993378
"46",-3116.32197919809
"47",-3136.45421784641
"48",-3130.30024008699
"49",-3117.31931752649
"50",-3119.98468065429
"51",-3113.40386161664
"52",-3116.60977479285
"53",-3102.35683292209
"54",-3113.95023181042
"55",-3103.32052242172
"56",-3105.91420284556
"57",-3107.55227098024
"58",-3103.98731428655
"59",-3113.89544978801
"60",-3108.33555807028
"61",-3098.14031025093
"62",-3099.57153312619
"63",-3099.34077611222
"64",-3098.05775461278
"65",-3093.47737890634
"66",-3098.69509610816
"67",-3096.10179496318
"68",-3103.11877784858
"69",-3091.67783196464
"70",-3100.39511387448
"71",-3091.54580469189
"72",-3090.14497463156
"73",-3090.61394781373
"74",-3094.30667601967
"75",-3089.7316375974
"76",-3086.56795110354
"77",-3090.50964148566
"78",-3087.04734355089
"79",-3097.37191369625
"80",-3091.23542738197
"81",-3086.48777472
"82",-3083.32189238503
"83",-3095.08821118807
"84",-3084.21867537738
"85",-3085.03844291264
"86",-3085.81191246863
"87",-3091.05508602585
"88",-3079.88399470972
"89",-3086.50376632961
"90",-3091.20008593261
"91",-3089.26926982507
"92",-3089.79063341313
"93",-3088.21329140099
"94",-3091.05813995175
"95",-3088.33136919695
"96",-3084.53385543378
"97",-3086.72591252421
"98",-3087.73579797296
"99",-3082.99075817951
"100",-3089.74050589103
"101",-3082.23194417213
"102",-3087.21169831219
"103",-3086.87331214507
"104",-3087.68941146974
"105",-3085.43654391955
"106",-3086.8585958771
"107",-3087.7955364434
"108",-3086.76216784524
"109",-3083.00398975288
"110",-3082.08847866845
"111",-3088.9985363168
"112",-3080.00969789005
"113",-3088.46618511094
"114",-3084.1822747312
"115",-3086.32237941876
"116",-3084.10065855059
"117",-3088.48468577305
"118",-3085.3246699726
"119",-3080.34108985762
"120",-3086.59419927897
"121",-3087.65791746887
"122",-3087.26829922439
"123",-3090.13244785534
"124",-3088.76237004491
"125",-3089.08967752337
"126",-3088.49417651258
"127",-3090.2384033372
"128",-3080.79266070925
"129",-3084.92608283246
"130",-3084.4817859519
"131",-3091.51184194126
"132",-3091.29034567953
"133",-3092.68799249637
"134",-3085.72873348843
"135",-3094.51899996903
"136",-3090.66870393811
"137",-3086.56772606552
"138",-3091.78930968358
"139",-3093.51743098574
"140",-3085.8346219478
"141",-3094.01395753398
"142",-3094.90052912905
"143",-3089.84847549255
"144",-3090.99860163804
"145",-3093.92939265311
"146",-3090.67852022286
"147",-3088.21188657069
"148",-3091.12878799839
"149",-3089.34698351863
