"","x"
"1",-5132.83158084772
"2",-5122.26068626528
"3",-5117.34006681598
"4",-5132.85237861133
"5",-5119.66916474539
"6",-5130.31411959682
"7",-5124.34563094257
"8",-5132.00133694922
"9",-5120.65275935449
"10",-5103.52016548504
"11",-4915.730170111
"12",-4912.10939624403
"13",-4920.22378556228
"14",-4924.5656446924
"15",-4923.09661211621
"16",-4917.65941921043
"17",-4925.20078767506
"18",-4933.30498732824
"19",-4921.33072912516
"20",-4929.60224635904
"21",-4806.77346432396
"22",-4794.68167421754
"23",-4802.14435172981
"24",-4823.31168556219
"25",-4805.06084613714
"26",-4808.99941287928
"27",-4797.12346605866
"28",-4787.653197476
"29",-4799.2977606312
"30",-4811.00713337621
"31",-4731.26950286287
"32",-4717.56285912568
"33",-4727.21377225182
"34",-4737.87721598972
"35",-4725.89970271532
"36",-4729.29020226112
"37",-4733.17905971386
"38",-4724.50815493296
"39",-4722.8917373878
"40",-4724.78719881645
"41",-4655.08189061358
"42",-4671.92857317746
"43",-4648.20113880669
"44",-4678.87369088085
"45",-4654.64527610095
"46",-4667.40486539749
"47",-4651.64247878398
"48",-4629.61813210844
"49",-4649.90796213967
"50",-4657.86769985434
"51",-4608.372267166
"52",-4587.97967736271
"53",-4598.23305960945
"54",-4606.50000350238
"55",-4617.16279273744
"56",-4592.6868519257
"57",-4617.51266526666
"58",-4587.87892271904
"59",-4598.6714288279
"60",-4603.26333201869
"61",-4577.7542390972
"62",-4555.55400144286
"63",-4566.73768579758
"64",-4561.72872418307
"65",-4547.86741292161
"66",-4563.37207111422
"67",-4546.91244042668
"68",-4534.70665558651
"69",-4570.33117056811
"70",-4548.49907581479
"71",-4526.23815428874
"72",-4518.058876184
"73",-4507.1893154926
"74",-4516.11057048631
"75",-4524.98067412946
"76",-4523.09108677526
"77",-4526.41419804704
"78",-4506.07625840001
"79",-4511.41099360457
"80",-4531.05953025008
"81",-4480.78660327179
"82",-4489.06450476537
"83",-4478.80520082849
"84",-4469.55920366993
"85",-4484.58494926488
"86",-4479.392641692
"87",-4466.62259237642
"88",-4499.81150485364
"89",-4493.41938307388
"90",-4479.63303343803
"91",-4462.63208894759
"92",-4452.86493280335
"93",-4461.61053353747
"94",-4472.02355744254
"95",-4446.84947613955
"96",-4470.15968797027
"97",-4451.72824832361
"98",-4431.58989565773
"99",-4476.58125555568
"100",-4451.92469260841
"101",-4432.34282532667
"102",-4435.56989520128
"103",-4437.65272957508
"104",-4405.07441628798
"105",-4409.59242762752
"106",-4419.58370540544
"107",-4421.75595785232
"108",-4414.15408136773
"109",-4437.17696370102
"110",-4429.21417984465
"111",-4403.51910285799
"112",-4394.84821367439
"113",-4416.21532948366
"114",-4362.15766354707
"115",-4405.82411259383
"116",-4408.28121707563
"117",-4406.1695060673
"118",-4383.12176920406
"119",-4394.85441149015
"120",-4402.83694602505
"121",-4385.31087279388
"122",-4378.2039569989
"123",-4385.41871902316
"124",-4394.55574333628
"125",-4377.09328404161
"126",-4357.2585875733
"127",-4382.42142211053
"128",-4383.53617217908
"129",-4364.38246911548
"130",-4374.69086079729
"131",-4363.92484035724
"132",-4350.53392623377
"133",-4367.6301783434
"134",-4343.52249716244
"135",-4350.06037267112
"136",-4337.73701248092
"137",-4354.53444435075
"138",-4365.81231930161
"139",-4353.63320824533
"140",-4363.12110014011
"141",-4343.15928651936
"142",-4322.12133915098
"143",-4351.7224952874
"144",-4351.08354394039
"145",-4320.08570340263
"146",-4319.84731689664
"147",-4349.33653449111
"148",-4323.5974549879
"149",-4364.37541639935
"150",-4328.12206596319
"151",-4311.02587869481
"152",-4310.81564427951
"153",-4325.6160940759
"154",-4321.67697609546
"155",-4310.08126406427
"156",-4309.64054563963
"157",-4316.1062819855
"158",-4320.94683809821
"159",-4323.41652837735
"160",-4299.32791007698
"161",-4295.2950453229
"162",-4284.52792458718
"163",-4308.44510771516
"164",-4306.93898166405
"165",-4300.79643786253
"166",-4320.24633120054
"167",-4312.01160040204
"168",-4304.13459653125
"169",-4307.8869171688
"170",-4301.72652785273
"171",-4295.46060389046
"172",-4307.4884087487
"173",-4299.31032256014
"174",-4274.24350825643
"175",-4275.14984209684
"176",-4290.41891837374
"177",-4299.35559306777
"178",-4283.94846317372
"179",-4287.24358377095
"180",-4286.419545217
"181",-4280.29753726543
"182",-4270.80627451236
"183",-4285.27613774749
"184",-4292.73564023004
"185",-4281.25579912351
"186",-4300.83082363991
"187",-4266.17497612741
"188",-4280.57802620118
"189",-4295.82649655727
"190",-4277.69769083729
"191",-4223.48532244854
"192",-4247.53796719671
"193",-4230.05275165263
"194",-4252.64830478223
"195",-4241.07962266809
"196",-4257.43921028833
"197",-4253.34430415438
"198",-4246.95014014659
"199",-4264.32104272844
"200",-4262.94807750018
"201",-4262.26723999955
"202",-4232.63423601161
"203",-4244.93608820631
"204",-4260.47704368372
"205",-4242.2225343342
"206",-4249.82496955278
"207",-4266.30229801075
"208",-4248.85308920895
"209",-4242.91826836827
"210",-4224.55740938231
"211",-4258.30227048211
"212",-4252.86255450172
"213",-4242.28026672013
"214",-4234.52598464594
"215",-4255.48645722168
"216",-4247.08713377371
"217",-4233.72845836584
"218",-4245.20061148642
"219",-4227.48172561307
"220",-4229.90237008205
"221",-4224.7429808648
"222",-4230.77237847094
"223",-4212.55935870581
"224",-4221.9757556468
"225",-4218.40851703929
"226",-4246.39393461133
"227",-4226.26324184183
"228",-4237.14661825025
"229",-4232.5965123186
"230",-4235.96319925704
"231",-4232.1440609547
"232",-4210.57291457945
"233",-4224.47337099347
"234",-4229.5598516947
"235",-4195.26392964121
"236",-4200.00464083737
"237",-4225.99566106559
"238",-4215.87592750663
"239",-4227.81272668547
"240",-4230.4337949366
"241",-4226.91081711537
"242",-4215.79965984965
"243",-4202.22479004712
"244",-4223.83603622373
"245",-4208.96772017318
"246",-4231.79333196556
"247",-4205.23250618098
"248",-4214.01189821448
"249",-4208.96499513754
"250",-4191.26563284477
"251",-4189.77963602388
"252",-4213.02951639959
"253",-4200.96716421604
"254",-4199.74542848582
"255",-4202.79639260549
"256",-4228.5118002668
"257",-4190.08456510199
"258",-4203.91979166422
"259",-4214.37432489186
"260",-4218.46339065558
"261",-4181.35903878307
"262",-4181.76915999671
"263",-4210.35315634608
"264",-4201.24112864519
"265",-4189.17138976818
"266",-4180.7495684023
"267",-4203.09522829506
"268",-4182.50010525303
"269",-4183.30774116032
"270",-4169.80713486993
"271",-4183.28690624417
"272",-4192.95749463627
"273",-4189.24971355024
"274",-4159.7582829868
"275",-4138.85115747243
"276",-4197.39014211611
"277",-4203.94599506498
"278",-4204.67558414622
"279",-4190.34433446253
"280",-4196.85812314649
"281",-4168.54940255944
"282",-4183.83830012199
"283",-4169.8334663524
"284",-4178.04779706341
"285",-4175.61534917819
"286",-4165.12731466664
"287",-4159.72950747516
"288",-4196.26954026912
"289",-4167.518081388
"290",-4171.42604933215
"291",-4161.43271796661
"292",-4180.35939178177
"293",-4169.52570182319
"294",-4179.11322263666
"295",-4170.87228269685
"296",-4159.02740365028
"297",-4176.43254055934
"298",-4147.18578038277
"299",-4172.69857072669
"300",-4156.00124852574
"301",-4173.23112872671
"302",-4153.82981180232
"303",-4170.94881917754
"304",-4164.98317625943
"305",-4165.89846378902
"306",-4146.84352032691
"307",-4153.72625755911
"308",-4156.71564729939
"309",-4168.58531534593
"310",-4177.76962144017
"311",-4139.18771555699
"312",-4150.09465010264
"313",-4159.45760076095
"314",-4157.84503518034
"315",-4146.27663733936
"316",-4168.96245387869
"317",-4174.45410529399
"318",-4166.79018057323
"319",-4160.71249525563
"320",-4148.33511004704
"321",-4161.74776360102
"322",-4142.87024908744
"323",-4172.66952951533
"324",-4154.14625836383
"325",-4128.46885053695
"326",-4180.18310905909
"327",-4141.90391328639
"328",-4159.78971690493
"329",-4167.57945474723
"330",-4138.983733001
"331",-4177.72894321035
"332",-4154.34378658412
"333",-4157.08687902192
"334",-4156.4617629829
"335",-4143.71352996994
"336",-4137.90297347206
"337",-4137.52138015777
"338",-4128.30994582843
"339",-4130.69734056682
"340",-4154.50059756752
"341",-4130.28824797766
"342",-4141.86627004157
"343",-4133.63995139914
"344",-4151.70768485774
"345",-4131.09008430031
"346",-4132.87113093625
"347",-4106.88064498301
"348",-4140.21210016656
"349",-4150.71171904752
"350",-4149.02492243595
"351",-4147.12484543077
"352",-4134.11711523899
"353",-4160.40501640695
"354",-4133.52637649283
"355",-4149.71076289059
"356",-4142.25890767962
"357",-4139.10424767421
"358",-4141.66733327951
"359",-4111.38264989607
"360",-4150.46865391568
"361",-4115.00473214064
"362",-4131.1917750994
"363",-4130.62727030699
"364",-4127.06911954361
"365",-4140.04058411064
"366",-4159.48086927775
"367",-4134.64709264863
"368",-4136.98524263016
"369",-4148.88796984562
"370",-4140.24837558337
"371",-4129.20605527295
"372",-4147.32846830682
"373",-4126.66116680964
"374",-4133.8494082034
"375",-4139.50731765106
"376",-4119.19730860199
"377",-4132.04495455421
"378",-4142.04665207086
"379",-4136.72971064562
"380",-4124.22089411241
"381",-4135.86052581794
"382",-4113.98916489083
"383",-4135.66135452966
"384",-4126.01830932429
"385",-4133.25034214308
"386",-4122.13575466814
"387",-4137.96828761447
"388",-4123.79450184783
"389",-4141.02254961271
"390",-4135.79596188002
"391",-4118.7817023743
"392",-4120.59775434821
"393",-4114.45625974323
"394",-4113.6247970544
"395",-4141.85045355177
"396",-4130.76447058518
"397",-4133.74406939746
"398",-4122.37649389366
"399",-4132.04928125413
"400",-4125.89590422168
"401",-4103.88938703235
"402",-4137.71710087457
"403",-4101.86594632089
"404",-4118.43211737844
"405",-4107.52117983102
"406",-4149.73521718262
"407",-4098.66045759204
"408",-4136.28818222615
"409",-4116.73785905572
"410",-4118.74038219691
"411",-4110.70488659005
"412",-4125.59557827065
"413",-4132.55961473031
"414",-4112.58235710705
"415",-4104.74750756498
"416",-4123.98263196809
"417",-4120.04247194742
"418",-4124.16849140541
"419",-4113.54594418788
"420",-4127.27657987553
"421",-4124.31658729773
"422",-4117.01228486021
"423",-4125.89772220201
"424",-4117.22176757615
"425",-4094.12356430359
"426",-4120.03362156658
"427",-4121.42542130967
"428",-4110.10228989654
"429",-4123.39299005566
"430",-4106.55300948352
"431",-4118.45837340583
"432",-4116.08136221822
"433",-4107.79502751949
"434",-4092.8923911442
"435",-4102.70474798063
"436",-4117.96013526245
"437",-4105.17849781707
"438",-4103.63504895973
"439",-4126.99848266496
"440",-4097.54876587526
"441",-4097.22559385196
"442",-4105.03387165317
"443",-4110.43213302434
"444",-4106.31103781797
"445",-4115.28954942735
"446",-4110.32420972095
"447",-4093.0520286982
"448",-4124.27164752633
"449",-4119.53046716886
"450",-4108.98481749669
"451",-4103.51620130989
"452",-4099.87757713344
"453",-4092.5909079796
"454",-4106.46750296801
"455",-4098.67531699701
"456",-4100.87023119051
"457",-4106.7726594938
"458",-4111.01004635501
"459",-4096.55218834922
"460",-4099.43262100248
"461",-4096.36934840402
"462",-4107.32267035668
"463",-4106.94297919717
"464",-4104.96448608448
"465",-4085.60278110746
"466",-4115.28259055424
"467",-4099.93457391949
"468",-4110.41170616535
"469",-4114.2940011442
"470",-4089.46734723649
"471",-4098.40585512213
"472",-4102.84091912125
"473",-4094.27404781484
"474",-4076.19672388317
"475",-4081.49343037717
"476",-4113.28291177734
"477",-4102.64045773436
"478",-4088.7769712528
"479",-4106.34656945846
"480",-4104.28824370945
"481",-4122.56612631184
"482",-4094.99392636929
"483",-4091.8317493766
"484",-4110.71438314939
"485",-4118.34197681525
"486",-4097.77172284165
"487",-4087.84485613773
"488",-4101.49143091137
"489",-4116.55156826487
"490",-4110.27744565663
"491",-4093.19927132982
"492",-4096.89774454433
"493",-4094.25617093439
"494",-4092.03607808738
"495",-4101.19667319686
"496",-4093.46794272723
"497",-4110.59296461174
"498",-4102.0949341397
"499",-4088.73726967453
"500",-4100.89782650812
"501",-4089.20472569555
"502",-4089.9353412211
"503",-4093.86180730443
"504",-4100.84265439171
"505",-4100.32745087224
"506",-4071.23546361026
"507",-4115.58572987534
"508",-4095.9002520548
"509",-4112.3295907707
"510",-4099.49771984022
"511",-4080.81698040035
"512",-4096.51917499184
"513",-4102.31918644837
"514",-4093.96563974463
"515",-4100.17193419632
"516",-4086.81398745228
"517",-4095.90227694589
"518",-4102.2152441886
"519",-4088.03602592546
"520",-4093.13552475609
"521",-4082.37519006711
"522",-4088.36830696631
"523",-4059.56366481336
"524",-4096.09758164939
"525",-4088.07519421478
"526",-4068.82775983818
"527",-4065.02836770339
"528",-4096.40121636262
"529",-4104.46603028234
"530",-4089.21736932633
"531",-4086.54547930418
"532",-4085.67977200808
"533",-4109.37106860677
"534",-4096.0248667771
"535",-4075.53619132271
